index  vmin  vmax  num_of_features  a_fitness  training_accuracy  test_accuracy
00     -6.0  -2.0  2                0.8457     0.8098             0.8183
01     -5.8  -1.8  2                0.8260     0.7851             0.7714
02     -5.6  -1.6  2                0.8338     0.7948             0.6667
03     -5.4  -1.4  2                0.8295     0.7895             0.7733
04     -5.2  -1.2  2                0.8376     0.7996             0.8117
05     -5.0  -1.0  2                0.8571     0.8240             0.6717
06     -4.8  -0.8  2                0.8217     0.7798             0.8133
07     -4.6  -0.6  2                0.8416     0.8047             0.7650
08     -4.4  -0.4  2                0.8406     0.8033             0.7733
09     -4.2  -0.2  2                0.8212     0.7792             0.7683
10     -4.0  +0.0  2                0.8299     0.7900             0.7533
11     -3.8  +0.2  2                0.8279     0.7876             0.6967
12     -3.6  +0.4  2                0.8530     0.8189             0.7200
13     -3.4  +0.6  2                0.8324     0.7931             0.6750
14     -3.2  +0.8  2                0.8419     0.8050             0.6683
15     -3.0  +1.0  2                0.8452     0.8092             0.7283
16     -2.8  +1.2  3                0.8365     0.7996             0.7367
17     -2.6  +1.4  6                0.8335     0.7998             0.6917
18     -2.4  +1.6  5                0.8263     0.7894             0.5983
19     -2.2  +1.8  17               0.8098     0.7847             0.6350
20     -2.0  +2.0  45               0.7254     0.7159             0.7367
21     -1.8  +2.2  57               0.7128     0.7159             0.7367
22     -1.6  +2.4  71               0.7060     0.7259             0.7000
23     -1.4  +2.6  77               0.6917     0.7159             0.7367
24     -1.2  +2.8  73               0.6959     0.7159             0.7367
25     -1.0  +3.0  78               0.6750     0.6964             0.8067
26     -0.8  +3.2  78               0.6866     0.7108             0.7550
27     -0.6  +3.4  78               0.6825     0.7057             0.7733
28     -0.4  +3.6  76               0.6928     0.7159             0.7367
29     -0.2  +3.8  72               0.6813     0.6964             0.8067
30     +0.0  +4.0  78               0.7065     0.7357             0.6567
31     +0.2  +4.2  77               0.6917     0.7159             0.7367
32     +0.4  +4.4  77               0.7036     0.7308             0.6783
33     +0.6  +4.6  75               0.6938     0.7159             0.7367
34     +0.8  +4.8  78               0.6947     0.7211             0.7183
35     +1.0  +5.0  79               0.7093     0.7406             0.6350
36     +1.2  +5.2  80               0.6885     0.7159             0.7367
37     +1.4  +5.4  78               0.6866     0.7108             0.7550
38     +1.6  +5.6  77               0.6798     0.7010             0.7914
39     +1.8  +5.8  76               0.6968     0.7211             0.7183
40     +2.0  +6.0  74               0.6989     0.7211             0.7183
