index  vcenter  vrange  vmin  vmax  num_of_features  a_fitness  training_score  test_score
00     -2.0     +0.0
01     -2.0     +0.4    -2.2  -1.8  1                0.8223     0.7792          0.7600
02     -2.0     +0.8    -2.4  -1.6  2                0.8015     0.7545          0.8300
03     -2.0     +1.2    -2.6  -1.4  3                0.8516     0.8185          0.5429
04     -2.0     +1.6    -2.8  -1.2  2                0.8309     0.7912          0.6533
05     -2.0     +2.0    -3.0  -1.0  2                0.8366     0.7984          0.7200
06     -2.0     +2.4    -3.2  -0.8  1                0.8186     0.7746          0.7367
07     -2.0     +2.8    -3.4  -0.6  2                0.8531     0.8190          0.6883
08     -2.0     +3.2    -3.6  -0.4  2                0.8211     0.7790          0.7133
09     -2.0     +3.6    -3.8  -0.2  2                0.8089     0.7638          0.8133
10     -2.0     +4.0    -4.0  0.0   2                0.8422     0.8053          0.7250
11     -2.0     +4.4    -4.2  0.2   2                0.8403     0.8030          0.7914
12     -2.0     +4.8    -4.4  0.4   3                0.8433     0.8081          0.7083
13     -2.0     +5.2    -4.6  0.6   2                0.8374     0.7993          0.7367
14     -2.0     +5.6    -4.8  0.8   2                0.8418     0.8048          0.7250
15     -2.0     +6.0    -5.0  1.0   2                0.8445     0.8083          0.5900
16     -2.0     +6.4    -5.2  1.2   4                0.8306     0.7935          0.7300
17     -2.0     +6.8    -5.4  1.4   2                0.8336     0.7946          0.7367
18     -2.0     +7.2    -5.6  1.6   3                0.8594     0.8282          0.6450
19     -2.0     +7.6    -5.8  1.8   5                0.8299     0.7939          0.7183
