index,vcenter,vrange,vmin,vmax,num_of_features,a_fitness,training_score,test_score
00,0.0,+0.0,,,,,,
01,0.0,+0.4,-0.2,0.2,53,0.7367,0.7406,0.6150
02,0.0,+0.8,-0.4,0.4,55,0.7067,0.7057,0.7733
03,0.0,+1.2,-0.6,0.6,58,0.7035,0.7057,0.7733
04,0.0,+1.6,-0.8,0.8,57,0.7087,0.7108,0.7550
05,0.0,+2.0,-1.0,1.0,49,0.7249,0.7206,0.7550
06,0.0,+2.4,-1.2,1.2,54,0.7159,0.7159,0.7367
07,0.0,+2.8,-1.4,1.4,55,0.7387,0.7457,0.7000
08,0.0,+3.2,-1.6,1.6,57,0.7167,0.7208,0.7550
09,0.0,+3.6,-1.8,1.8,52,0.7374,0.7402,0.7000
10,0.0,+4.0,-2.0,2.0,46,0.7319,0.7254,0.7550
11,0.0,+4.4,-2.2,2.2,45,0.7295,0.7211,0.7183
12,0.0,+4.8,-2.4,2.4,49,0.7327,0.7304,0.7550
13,0.0,+5.2,-2.6,2.6,35,0.7277,0.7057,0.7733
14,0.0,+5.6,-2.8,2.8,43,0.7389,0.7302,0.7733
15,0.0,+6.0,-3.0,3.0,25,0.7544,0.7259,0.7000
16,0.0,+6.4,-3.2,3.2,28,0.7746,0.7551,0.6350
17,0.0,+6.8,-3.4,3.4,25,0.7544,0.7259,0.7000
18,0.0,+7.2,-3.6,3.6,32,0.7705,0.7553,0.7000
19,0.0,+7.6,-3.8,3.8,29,0.7662,0.7459,0.7183
